2018-04-19 00:00:40	ea73798f08fe678e5fa097e46fb9bd48:JSiNtN9qlAX7zT3NV9MSWSzExhHXCtrz	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:03:22	eee192176888934102520197f54bc696:XrLVjgr7yzlVUpuQxyFzvd4HcdVxisL9	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:03:29	abadb8aa249c627331c6b2ff17ba41ce:V2rVktWfh1Rn9kiW9lBdmD7mxcgdsC68	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.15.197.165
2018-04-19 00:04:24	be98903fc20d27e6ed3f85af0e860ce1:upITy2TfasTUCIyVwyQcBbIHil6bVYFs	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:05:21	bf24a3da90a9be7de1fa4e5637893308:w1BqMoatxHyVFPTx6GRDAeDPOWdEnQOS	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:06:22	2b924ed0bb1ae000aa46929d07c9e189:pluuWat46TI1n5CQjASuQvjKxGttPXJq	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:07:09	525f6beca6d39ebd21439d041453b5af:S81MtvNNeYtxmIKYo2OO97mFl59S7w8m	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:08:22	f14cf47da42d74dad59ef2ac378cd12f:lJPRK1Zt6V7KGrek1HDM7dY2aIipbDfy	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	125.231.91.184
2018-04-19 00:11:51	2f828bcdbc19eb8b1ef0e7897c29e4ca:YX4IARp1W0sdO4mVyJrxMBWsYUWjoRlb	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:13:04	9f5b50c5d793618efb9c97c3e6229cf3:UNviTWEE4VHwrI0gRXmBNSkqXmxxUW5N	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:14:10	74dd7ffc12f64838bb316d1d071ada93:VanX5g4urpNuuBdgUARezAm5vUjdrQit	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
