2018-04-20 00:21:20	9d498be8d9ece456a19e3c89268c0674:y7EplSFihE0VwjljMljGmHIjnlbEICul	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.12.227.21
2018-04-20 00:22:59	5e0364a29381bb156654cedac1c41430:W9OCck6raMv70jryzudfGaQPRb4R0Slh	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.12.181.85
2018-04-20 00:29:15	9cabf94ce519becabe2a8f2aec2b4fb5:xVrcPF0jsjeTCB4lh3pwuAuUCP84QzAt	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	110.26.232.45
2018-04-20 01:20:57	22dc44572236150df0f2f593470498e7:gfon1veiCuMcSA9IRXH9kx3tEkXsoMpI	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	118.169.39.200
2018-04-20 02:56:32	3a3728497d6cbf0db0e51b255764dcbe:ABSxZzCVkAoo0ipWntsR3PZrZrtiHuQO	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.163.45.202
2018-04-20 02:57:28	187134dc032d65f815a2154c051c3694:fYR7wFn2pskSXKJRujIfSnNdcCIJexnu	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 02:58:55	96154a078b3591e34bc1db1e67f43fa4:5GynuhTnuW3ZRB5U1BWmS0h143uXfQhv	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 02:59:16	ce0f22149e7eb6c7176c32c0b1b60863:jmvAwbAojD9Z4BTqmTY7dc2m0sCjzMW2	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 02:59:44	53fce0c4414b5f26e280951928d5bb46:2tulPJzrONFqknTBJcnhlr4CWES1eX9H	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:00:04	050c2557b0e87ce38adb586bccd01f43:PFfPHXLGDab2b92Yciwvp0FQEtgXdYLZ	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:00:28	3f99e6e906262d128dbc11563787eaba:O3w18jv5C9nmg2szLqiGEVRULCcXkFPt	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:01:05	9206aaa114ec5114fc5a4c06c4ee7e56:H7gs83ZXS0qbjxgqVmWwNcOqfpHvOXpP	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:01:19	f0a903bc15cc070a6743f076e7b30b71:JhuXj7S2RyX9PcfV08jeGHj5E35DsTBm	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:01:36	71e6abf9768b07e5bac52499cdbe3c7a:eDHt5Sq2zMiWHFqICGL8aWeTptRgfbVP	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:03:00	903d2d24a38a7ecd65f91cddbcd83f79:vBYJKOvnq5tBymIiupFcvghvSWADHMJI	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:03:18	b0db609257a986d3e9a465ffe9913614:P3c3ppYlUo8svhiwgbg9KYZl6Vly468L	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:03:49	aa791adf0889b7bd9f69f073af5ec984:U4sKW75J7GIS2cqSlwDCcnd3CSdWvGeC	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:04:06	4d869eb0e075769a30b0d67e6c8f0386:0Ugih43woip3JCHRYBAaQz5zyRDoLXEp	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:04:23	c9a9e907c7bdcf8595402f5579b423ba:aRv0KjzpqNMxlyE3FMTUvszNOefSrmpt	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:04:39	0bedd7752eeebc11552f70696a3e06bc:KfHETlmkBq2UhEX95oVBvNtRJkY4l0ZP	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:04:54	20870bb01c238806ebaeb9c69d379f3c:QD6fSxn3MvvX2whbjcpKIFiXHPIq1lW3	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:05:06	e5bb47c2497380bc5244ec0069841ab0:3DyuPVqPdkX5oUuOmHZhDggGoWSKNNit	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:05:22	7f9dba56dcfabc4e3ea0f5f56a84a878:BVZDTq7RHOaIsRXLxvmGXhvzQwYDbBRX	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:05:53	b413b33e7a689ab69ac9ac51dd5f6635:ZHVdVb5x9lLMm6aDIAzsx0sFNeCUAXn0	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:06:11	d51f0d2d005c1287a59f3af10770e1dd:h3fTGntDBGGDa2aCJt7RPw9l7mtQvu6U	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:06:31	56bb115c4a89dc4e62a341305de9750b:XDFHimTn62FWSDt14braHamWdviZ15lz	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:06:53	b75fe483e88ae2f37be1103997e466db:6lot4VBOwnaDOiiXpG6UirTxsEgNk3aB	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:07:48	3fc0e9597de59993245f4d6cf0d89ac1:Br6ZOkGBbmKNKSTlK3L6xL55OoBkkeJU	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:08:23	100563fd3ebfe0ea4573493ff89d8510:kmqzeXHyEN0flULC0peEOsT25iNXbNgt	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
