2018-04-21 01:53:41	369d457ac062982245ef302fbe2cee87:aju9A5sUNcOE3KUsbFd096vgZra5Irzs	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	61.230.153.127
2018-04-21 04:54:41	878a206ef9a532ec1179b1d33cc796f7:be5YcCMJBrghUBQWUQahyrYadyHRF2hY	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 04:56:56	654f62e1a24b0ac704d44c591058e490:K8NurvC21S7LvkxrcDZ6FrWOPqu1GkED	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 04:57:08	37a6f7de8d1a425a6a434c92c6007427:nUzakGBP5BMcthppZFmz8ybtYD0IFcbj	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 04:57:26	2b70d3295ebc8c07f384ac3332a51cc7:uaXOoHzOdcsS0fXATBZzodal3AtDfM3o	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 04:57:37	bfaa750efc8e65d30302b7828903aeb7:KKY5piVQQQVXx9BhiWk7Us5iW1UB5LdC	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 04:57:56	e658c6ef4595d4e6a444383fa24791b9:kBiMZjgmgwMzBwn69z9kDRk6qPqBFDly	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 04:58:07	b7bafac7a410043e9226ef4d5279619e:6XK7AhFb0bP8EcDZ369HLowakGP3xImU	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 04:58:25	3d6398f6a43e5d1795c3c691b083b27f:axsfnoYXFGj5k32slrExPBs0RoWAwCKW	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 04:58:35	19e26f5494fcc54ea60350b63efd4af5:rWSVVJJZRYlrQfM0chVntH0VuSc5MRnx	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 04:58:56	28d58f2a8539f540f2cdcbd6881a6a26:ABqer5p4TQicf2YeAAkqqMkaZ3nHJaJe	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
