2018-04-22 06:11:35	90a04db15267462fe49dcc251912d885:si4Ejbf12ZbswQJf4vS4tKugkJx3l8Mm	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.161.239.156
2018-04-22 07:39:38	2f0dae45def6d2a636ff04e532ecd3e0:P7B2bfZFHwuGkf53rqJMliMa8VUXCpOr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.97.1
2018-04-22 07:47:13	2a90c153554ec350f470c40ea405e031:Qo8CJsUyJ2Aomr12KkptLXtsdgnOe0si	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.177.221
2018-04-22 09:49:15	d0920be9e2995be2fca7921b449240fe:Ijsp82me9hOXwZMR8c1I8kcRVPcZEVtN	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.141.137.142
2018-04-22 10:22:39	f3726e96fc325e14dab533b4a92e05ee:YyNKFEwyz7FiFpvphQxHMKpO9RHIFIrn	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 10:26:08	24946be5bd3008ab35562467a24cbf56:3slH4Prv0eymX8laynZvKBFoEXWwb6Vi	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 10:29:48	92caf925aa9602a327f86010d4376bba:fC6C2AyCButkxDyJR6FGv191cjvt70NJ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 10:34:18	9f936b0c08a1b3fb41bb7ef8aa89906f:WhpKwHq5wKpJGECGjWhJeuL8RwWmn3cd	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 10:52:53	e0a37a00b4c780ebaa5d340cf3c13223:c97ILwdOOuQdQ9heU435oaFN8zu4kRRa	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 10:52:56	6bb5f9fff416281df7b6ee1c9784a63a:3omTsv246VXlXsfR3FBlxzuJK9rCX1WM	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.136.0.162
2018-04-22 11:29:43	82b80945cd0e888c2b34254e94e668db:0p0uiOe0ZF6oePkOK3Lot3QK8kqIRNi8	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.8.228
2018-04-22 11:37:45	9dcb77d22848146bee4734840251913d:0I22oGa1E0GmFWTVPtKOIGvAHd03uq07	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	36.226.160.79
2018-04-22 12:02:12	d5da465a815985769108e7d8d163b934:VtI9b1mxKFQpSZTZoolYYdVimCW3Wa40	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.141.137.142
2018-04-22 12:15:37	f2f5289814315e8c47a9b02f3f241264:Nsg6sfWZGGO8QjjMdKur1SU6cs6gXxuT	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	111.243.93.156
2018-04-22 12:18:19	7ac6fb429bf37bfd911c4566f95de290:2PwnV42y4HQR2Jd96ImmCsVAt0icPB4Q	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	111.243.93.156
2018-04-22 12:21:45	893c6f90172b6523494d52b1356ba58b:ljeq6rz8yUIgMjiYqk9IsSVCHlgmUD6K	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	111.243.93.156
2018-04-22 12:24:34	91a3adf808a703ad6fe952d7b2101c51:GJisqFZuWtRjLqPbOW74DyhmSmuQyxOV	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	111.243.93.156
2018-04-22 12:27:06	f9a95eadcf9cb0598b2fe939839b8a20:leIcegi9LBa5FuTLN7gijLtAG2rvkCwq	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.243.93.156
2018-04-22 12:32:54	286de9ce0010affc75ba6271a348e7ca:ZVYTSMZMB85DpuKXVnYmeXx3AFZABQCJ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	111.243.93.156
2018-04-22 12:35:40	953ccfa9e82826f5ac8fef06d1d0ba07:ML8L3acsNI6rWbdz4m1DThj7TRFotH6D	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	111.243.93.156
2018-04-22 13:00:24	7f7182305ab8af1bc14b10806825823e:eJJqHfgy2rei38XNCNFKA7EDhvFRz3qf	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.222.138
2018-04-22 13:26:52	d067a8d342e7144bb4cb531565227cd2:4w7Fp8M02MnGFDHsRlsLUVfIkUZ5708c	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.248.61.4
2018-04-22 15:24:13	d6adb7fb2f0224c1919a756bfe05ee05:m8moEDuVp5TFI2HefLkP2oRwXiQMwxOr	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 15:28:10	72d34d11faa7bb43f3147ae0b672889e:CeOMIUHRdzT5eIWTriTvjlsJ4ktQGHUK	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 15:33:04	e59bdf4ba31c9a6cdedc5438d5cdc92c:bVhbZVfXbbTUHMFz0RWjzMN37b01yARY	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 15:36:01	ee927214549b5944ea82317dc3995d81:NFkzuELQlequca4QsNyiWiDH05KZ4q23	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 15:37:20	75775635c095e5487fb8cd6191626568:uPPRXMLPO6GzXgylLaVZZKMIKJk499HE	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 15:41:21	e2671d7f4eb5994d10fcfbd7540f022e:9wtGB8cDmnetH3R0Q7Ctt267Pn38d3W3	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 15:41:29	8fd2eeeb0d2d994fd67453a7f3344f7e:fi0Yec1m8gPEwVxlKVZzqWLcILi48riH	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 15:45:07	f768b5d83dde5d066c2b0a394c82fa46:383pseMBjAnKh6PKUuX6zOAwZukticFV	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 15:47:56	cd71c43b0209f73f3b9cc1f4ec05e164:pw73cREqedLLLyIwCeQXIa0eg8Yjgjbw	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 15:50:47	9957232708b64c4b850d055db20d12e3:L5inD59aNqNSSkD1ukKTxprnUBNwvo8N	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 15:50:53	d81b7d978accc10c8c0c650c43f6e17b:YpnMdw40tjPnL0nRBQZOPeRV5I7rMhlp	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 15:53:50	235fd59f0a5871cd86cd32ab8c09a8b5:qy6SynjWaUAOtnIbMnFjZ3IqHjOeGZWR	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 15:54:11	00db35d26880ae3cb96d754e1618f84f:WjJdbp43h9x914X2Oxprnr4hdNUCeDm3	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 15:57:03	b25f3327d39bea9ad18f8598cd8f8c70:IdYI4QYTW3KcKSoymsmYJ3iK58cyLrQz	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.34.165
2018-04-22 15:59:33	18638edb90ad8f6252627391255fe1bd:aJc9F48CU9dSsgt4YagxyPqQDHnm7evU	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 16:11:32	d8c2640120065e3fdad5974f70664a01:WQUQnrrsnf8szMnA074JNyZa6A2PTR97	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 16:17:23	ad5bf1c13ad0cbf00206015140f52158:7f7VudkMCI2BGKA8kW4DMhKHM5ail3xp	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.162.41.86
2018-04-22 16:34:23	459ff895b9b083124269eaff5b3e8eb1:CMBHAuw6li28OkYzvRTpR4EFPvFSll8B	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
