2018-04-23 02:13:04	38e6951a3de94f89532e6f3f45a510e7:kSm3XNF5x3rn5jAGxxq2evRQPhdnhi48	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	36.226.10.159
2018-04-23 08:04:04	0ab9a7822aa7bceba652a2f0e758788a:ETxHa9bCiWBxHriKM1RAXjJ1EjSiqVJ6	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	39.9.33.255
2018-04-23 08:20:32	8e66931d30f36f96f1879dc96eebc39b:U9iyy7eQggXfPLvCaQ81fUunBTZfdfQO	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.82.61.91
2018-04-23 08:24:17	1346489a49373ffe163c4a3aa7166ab1:da5ba3IkjBF0od0uegUeQAMoMSEGnZBW	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.52.103.125
2018-04-23 08:37:17	614cbacd9467af36423e5eee56d25b5c:HIGGvpE5hOWoKP1LKTA48q9Hx2SlQoJe	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-23 08:39:35	4ae6463ebbf504af12e74b96f9409b89:H3n7ifdp2SgM3bh3wm0H6mKeIwixUa8H	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-23 08:42:52	4effc9ff40a296811467f2c387a74ec0:43BJqfQqRJw7m3zpA3KKeODLGumEs7xq	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.247.60
2018-04-23 08:44:15	a4faf4df497c9e6c348ef8fb517f38ba:xLN0KXOufY6vGSlgU1gmC4Eoo2sQln77	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 08:46:00	cc6d88455d8d8ee7fe29f98d0168e6e7:3eSR09XpgDTdMpiqpaZnxdJfFa9tML4K	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-23 08:48:47	386f897ccb2e6ec67bb2f3d6521139d5:K5M502SifSIKGxmzAe0r0BJ9fJr0OktV	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:00:27	9ebb0bd429eafc8a0cfc4582e07e01e9:Jv2QuRoX0L391GsB0WAkJtiuZDy37iIC	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:03:33	34bc03a6816b8fe9db7b321d3f0e4568:3WwYul2zLXBrm9pjSfCjCU8uz2cE3ggZ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:06:34	3fad8d20fe4dbd4e8ca417383370b277:IvHYmWKpor9gnepcleLxMUnLKsHlrKTH	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
