2018-04-27 00:07:23	07081b38bf2caf289bd0dd9acc0c8ee7:FQxjN4T8cV9aMJ3EULvwDGqtNjQrwVEl	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:08:47	75d8f028354df0ad092a368620415b74:7dkKBp7sRYtRyGAxi8OXund7tPltdRYn	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:09:37	5756efe9a33b0ed4ba7cffbaf5e5bf4e:c2mKN1LDbDK73qiy8FLR77bwmIZXlPu5	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:10:40	89871f5e76b6fa4090c554ff5c251c87:k6rxv7k4yryqdQsdAkdsN9kQ2E9kbmXq	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:10:54	f913ce79816e9d511d2ee586b35dd695:OuEq8816Wnql1rCxsgzKh3Ciht04qVKH	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:11:14	b1c522fe262252acbc4de79bca9e8e00:vsHSYRJfSouOlMcs8jMTbNzp5b98rXjm	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	218.161.32.82
2018-04-27 00:11:53	f80ca5ef9341667ecdf3dabee07ee2da:vCfQ0OODxNjygNQHoDWmybuFtC7BI3tP	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:12:39	e5f09ac09567d02b56172f208f7ca7d6:2PgCBytebcNR5iV5LfjdbuOarKTXBSlO	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:12:58	e7211ad2bc93c3d86dc04582c0f54c09:rQokObMGpbh14Xfu2IipD5VdMC7nDxXL	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:12:58	9999573bcbc77058b48c244175af4a45:dnEGU9oCfUyKlP9x8pOdUFU2qLXwA1DC	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.137.87.104
2018-04-27 00:13:24	4ea137f83abe4c167d61be308b546b8f:xuQZCbLncIE5saX6aoyBeqyz0UEP9Qbi	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:14:11	7f1767c238c2c994c9dc968d04ea3022:ETWRm7yGoNrJv1nn5TGfOvpHdCkHD8kT	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:14:19	7148a1767a7618d4a5ec61e632cd90ff:nwLirn0LTPNBZFkVOyjC0skNGJBtMyTo	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	49.217.246.178
2018-04-27 00:14:20	67f44da164790674bf775700e49c0ec4:HauBZU0lDZTNjV3l3gC6onr4VMHFiTgu	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:14:46	41ddda01b50236d2e3532ad0a03f0627:D6Yee6TwMCG3KbITgi8WiblwQkXRhLQj	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:14:49	a2a5c39417c7d944fa4fdececfb462df:LxsenGsPrY1GGvwZ8BKlIOn0ydm8Celi	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:15:28	7aa51626a30ee3ee8faa74a147efde52:yyMcWp55B4vy0U4FPTcRh6b7Hx6hgihx	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:15:53	5a1031869b0b3414b892368c3e2f5ccf:JyvS6R19GUQV69Vn277OprZ7vlayVDoB	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:16:09	101df449c20486808de21faaf69460b2:4kdn0suYM29k0IQLWnyfJuuf1FWWc2qD	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
