2018-04-29 00:00:36	cfffa3fa47ec6d19c2adc3690656e62e:1aEQszpOuyluEwDIfYwGJANk8JlTtk55	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.159.230.62
2018-04-29 00:18:22	22cb2f99728378dada94cfe4e7f0e03f:0RSiq56WgcwIAPQxT4geaQkxACxP4AOs	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 00:21:20	7c7af8845b98921a57592c68ee3b9782:m0dahpZ1zHQyzQzhUqqr059rDld4KDnj	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 00:26:24	b828e8c3236083fd864b9cb61978ffd0:XX29PNGan6R2QwtShQA8B0pofA6Nm6q9	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 00:29:42	35036c2722bb1455057066e155ea540b:bQzeUdn7qGNZbaXzMNQB5mc82y6RMXPb	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	220.136.21.160
2018-04-29 00:41:02	cf6c184a5e45cfd30160145ddfa654f9:RAMUk7Z10mmgjJ1aZzaY56cDpmb4jbjZ	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 00:46:15	324b54c8b37d8ff95f09379df23d5683:nYz7qodhKhL8UT3rvrUDXVQUYK4A8dWg	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 00:48:21	108fdad6802810ff14b9e660f35abab9:kryP5Fn8M2tF57VDmpRWJ7namLcbdWtr	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 00:49:38	1aef141ee98756cc79753f09ad46268e:LWQkWxDVCZreXKT8YNDA054arEMM2wgp	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 00:51:42	4f9f2654e0023825481a61d73ef6cec1:opoI58WDUMBaJi3xjkdccugIshRnvQDX	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 00:53:53	e2da585ed23f9669535ed8dc07d97b0e:fkMYwbSqtR9WXX6TVy6BbJN9VnWZsJW0	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 00:56:10	8e5a97a9f182c8466c700124565f7ec5:66EGrU0Lo4q4KA2kkYnvOJdNZubPUocU	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 00:58:44	6f8e0c26ca2de220de7d6c2311a48136:40dpAd6SLza6YcwsTIYo7ttvvdHxlpqV	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
